time,Afdeling1_HQ_H,leemanspumpingstationafd1.pomp1_discharge,leemanspumpingstationafd1.pomp1_head,leemanspumpingstationafd1.pomp2_discharge,leemanspumpingstationafd1.pomp2_head,leemanspumpingstationafd1_pomp1_Q,leemanspumpingstationafd1_pomp2_Q
2015-03-05 00:00:00,-4.638451,1.866889,4.020451,1.869041,4.020451,1.866889,1.869041
2015-03-05 01:00:00,-4.626563,2.608419,4.553563,2.608419,4.553563,2.608419,2.608419
2015-03-05 02:00:00,-4.614349,2.583937,4.702349,2.583937,4.702349,2.583937,2.583937
2015-03-05 03:00:00,-4.602084,2.580159,4.725084,2.580159,4.725084,2.580159,2.580159
2015-03-05 04:00:00,-4.589842,2.581863,4.714842,2.581863,4.714842,2.581863,2.581863
2015-03-05 05:00:00,-4.577928,2.606402,4.565928,2.606402,4.565928,2.606402,2.606402
2015-03-05 06:00:00,-4.566407,2.635928,4.383407,2.635928,4.383407,2.635928,2.635928
2015-03-05 07:00:00,-4.555352,2.670924,4.162352,2.670924,4.162352,2.670924,2.670924
2015-03-05 08:00:00,-4.544800,2.708576,3.918800,2.708576,3.918800,2.708576,2.708576
2015-03-05 09:00:00,-4.534487,2.726543,3.800487,2.726543,3.800487,2.726543,2.726543
